Open,High,Low,Close,Volume
9.50,11.00,9.00,10.00,1000
19.50,21.00,19.00,20.00,1001
9.50,11.00,9.00,10.00,1002
19.50,21.00,19.00,20.00,1003
9.50,11.00,9.00,10.00,1004
19.50,21.00,19.00,20.00,1005
9.50,11.00,9.00,10.00,1006
19.50,21.00,19.00,20.00,1007
9.50,11.00,9.00,10.00,1008
19.50,21.00,19.00,20.00,1009
9.50,11.00,9.00,10.00,1010
19.50,21.00,19.00,20.00,1011
9.50,11.00,9.00,10.00,1012
19.50,21.00,19.00,20.00,1013
9.50,11.00,9.00,10.00,1014
19.50,21.00,19.00,20.00,1015
9.50,11.00,9.00,10.00,1016
19.50,21.00,19.00,20.00,1017
9.50,11.00,9.00,10.00,1018
19.50,21.00,19.00,20.00,1019
9.50,11.00,9.00,10.00,1020
19.50,21.00,19.00,20.00,1021
9.50,11.00,9.00,10.00,1022
19.50,21.00,19.00,20.00,1023
9.50,11.00,9.00,10.00,1024
19.50,21.00,19.00,20.00,1025
9.50,11.00,9.00,10.00,1026
19.50,21.00,19.00,20.00,1027
9.50,11.00,9.00,10.00,1028
19.50,21.00,19.00,20.00,1029
9.50,11.00,9.00,10.00,1030
19.50,21.00,19.00,20.00,1031
9.50,11.00,9.00,10.00,1032
19.50,21.00,19.00,20.00,1033
9.50,11.00,9.00,10.00,1034
19.50,21.00,19.00,20.00,1035
9.50,11.00,9.00,10.00,1036
19.50,21.00,19.00,20.00,1037
9.50,11.00,9.00,10.00,1038
19.50,21.00,19.00,20.00,1039
9.50,11.00,9.00,10.00,1040
19.50,21.00,19.00,20.00,1041
9.50,11.00,9.00,10.00,1042
19.50,21.00,19.00,20.00,1043
9.50,11.00,9.00,10.00,1044
19.50,21.00,19.00,20.00,1045
9.50,11.00,9.00,10.00,1046
19.50,21.00,19.00,20.00,1047
9.50,11.00,9.00,10.00,1048
19.50,21.00,19.00,20.00,1049
9.50,11.00,9.00,10.00,1050
19.50,21.00,19.00,20.00,1051
9.50,11.00,9.00,10.00,1052
19.50,21.00,19.00,20.00,1053
9.50,11.00,9.00,10.00,1054
19.50,21.00,19.00,20.00,1055
9.50,11.00,9.00,10.00,1056
19.50,21.00,19.00,20.00,1057
9.50,11.00,9.00,10.00,1058
19.50,21.00,19.00,20.00,1059
9.50,11.00,9.00,10.00,1060
19.50,21.00,19.00,20.00,1061
9.50,11.00,9.00,10.00,1062
19.50,21.00,19.00,20.00,1063
9.50,11.00,9.00,10.00,1064
19.50,21.00,19.00,20.00,1065
9.50,11.00,9.00,10.00,1066
19.50,21.00,19.00,20.00,1067
9.50,11.00,9.00,10.00,1068
19.50,21.00,19.00,20.00,1069
